year,state,vote_total,vote_D,vote_R
1976,"VT",183902,77798,100387
1980,"VT",213299,81952,94628
1984,"VT",234561,95730,135865
1988,"VT",243328,115775,124331
1992,"VT",289701,133592,88122
1996,"VT",258449,137894,80352
2000,"VT",294308,149022,119775
2004,"VT",312309,184067,121180
2008,"VT",325046,219262,98974
2012,"VT",299290,199239,92698
2016,"VT",320467,178573,95369
