year,state,vote_total,vote_D,vote_R
1976,"WI",2101336,1040232,1004987
1980,"WI",2273221,981584,1088845
1984,"WI",2211689,995740,1198584
1988,"WI",2191608,1126794,1047499
1992,"WI",2531064,1041066,930855
1996,"WI",2196169,1071971,845029
2000,"WI",2598607,1242987,1237279
2004,"WI",2997007,1489504,1478120
2008,"WI",2983417,1677211,1262393
2012,"WI",3071434,1620985,1410966
2016,"WI",2976150,1382536,1405284
