year,state,vote_total,vote_D,vote_R
1976,"CT",1386355,647895,719261
1980,"CT",1406285,541732,677210
1984,"CT",1466900,569597,890877
1988,"CT",1443394,676584,750241
1992,"CT",1616156,682318,578313
1996,"CT",1392614,735740,483109
2000,"CT",1459525,816015,561094
2004,"CT",1578769,857488,693826
2008,"CT",1646792,997772,629428
2012,"CT",1558204,905083,634892
2016,"CT",1644920,897572,673215
