year,state,vote_total,vote_D,vote_R
1976,"IL",4721282,2271295,2364269
1980,"IL",4749721,1981413,2358049
1984,"IL",4819088,2086499,2707103
1988,"IL",4559120,2215940,2310939
1992,"IL",5050157,2453350,1734096
1996,"IL",4311391,2341744,1587021
2000,"IL",4742108,2589026,2019421
2004,"IL",5274322,2891550,2345946
2008,"IL",5522371,3419348,2031179
2012,"IL",5242014,3019512,2135216
2016,"IL",5536424,3090729,2146015
