year,state,vote_total,vote_D,vote_R
1976,"DE",235642,122461,109780
1980,"DE",235668,105754,111252
1984,"DE",254572,101656,152190
1988,"DE",249891,108647,139639
1992,"DE",289620,126054,102313
1996,"DE",270810,140355,99062
2000,"DE",327529,180068,137288
2004,"DE",375190,200152,171660
2008,"DE",412412,255459,152374
2012,"DE",413890,242584,165484
2016,"DE",441590,235603,185127
