year,state,vote_total,vote_D,vote_R
1976,"NJ",3014472,1444653,1509688
1980,"NJ",2975684,1147364,1546557
1984,"NJ",3217862,1261323,1933630
1988,"NJ",3099553,1320352,1743192
1992,"NJ",3343594,1436206,1356865
1996,"NJ",3075860,1652361,1103099
2000,"NJ",3187226,1788850,1284173
2004,"NJ",3611691,1911430,1670003
2008,"NJ",3868237,2215422,1613207
2012,"NJ",3638499,2122786,1478088
2016,"NJ",3874046,2148278,1601933
