year,state,vote_total,vote_D,vote_R
1976,"MN",1949931,1070440,819395
1980,"MN",2051916,954173,873268
1984,"MN",2084449,1036364,1032603
1988,"MN",2096790,1109471,962337
1992,"MN",2347948,1020997,747841
1996,"MN",2192492,1120380,766395
2000,"MN",2438685,1168266,1109659
2004,"MN",2828387,1445014,1346695
2008,"MN",2910369,1573354,1275409
2012,"MN",2936561,1546167,1320225
2016,"MN",2944782,1367705,1322949
