year,state,vote_total,vote_D,vote_R
1976,"MA",2547558,1429475,1030276
1980,"MA",2524090,1053802,1057631
1984,"MA",2559383,1239606,1310936
1988,"MA",2632801,1401415,1194635
1992,"MA",2773664,1318639,805039
1996,"MA",2556459,1571509,718058
2000,"MA",2733964,1616487,878502
2004,"MA",2927455,1803800,1071109
2008,"MA",3102995,1904097,1108854
2012,"MA",3184196,1921290,1188314
2016,"MA",3378821,1995196,1090893
