year,state,vote_total,vote_D,vote_R
1976,"NY",6668262,3244165,2825913
1980,"NY",6201959,2728372,2637700
1984,"NY",6806810,3001285,3376519
1988,"NY",6485683,3255487,2838414
1992,"NY",7079432,3346894,2041690
1996,"NY",6439129,3649630,1738707
2000,"NY",6960215,3942215,2258577
2004,"NY",7448266,4180755,2806993
2008,"NY",7722019,4645332,2418323
2012,"NY",7116784,4324228,2223397
2016,"NY",7802084,4379789,2527142
