year,state,vote_total,vote_D,vote_R
1976,"MI",3651590,1696714,1893742
1980,"MI",3909725,1661532,1915225
1984,"MI",3801658,1529638,2251571
1988,"MI",3669163,1675783,1965486
1992,"MI",4274673,1871182,1554940
1996,"MI",3848844,1989653,1481212
2000,"MI",4232501,2170418,1953139
2004,"MI",4839252,2479183,2313746
2008,"MI",5001596,2872579,2048639
2012,"MI",4730961,2564569,2115256
2016,"MI",4799284,2268839,2279543
