year,state,vote_total,vote_D,vote_R
1976,"RI",410584,227636,181249
1980,"RI",415967,198342,154793
1984,"RI",410489,197106,212080
1988,"RI",404622,225123,177761
1992,"RI",453365,213299,131601
1996,"RI",390247,233050,104683
2000,"RI",409112,249508,130555
2004,"RI",437134,259760,169046
2008,"RI",471766,296571,165391
2012,"RI",446049,279677,157204
2016,"RI",464144,252525,180543
