year,state,vote_total,vote_D,vote_R
1976,"WA",1555534,717323,777732
1980,"WA",1742394,650193,865244
1984,"WA",1874910,798352,1051670
1988,"WA",1865253,933516,903835
1992,"WA",2287565,993037,731234
1996,"WA",2253837,1123323,840712
2000,"WA",2487433,1247652,1108864
2004,"WA",2859084,1510201,1304894
2008,"WA",3036878,1750848,1229216
2012,"WA",3125516,1755396,1290670
2016,"WA",3317019,1742718,1221747
