year,state,vote_total,vote_D,vote_R
1976,"CA",7803770,3742284,3882244
1980,"CA",8582938,3082943,4522994
1984,"CA",9505041,3922519,5467009
1988,"CA",9887065,4702233,5054917
1992,"CA",11131721,5121325,3630574
1996,"CA",10019469,5119835,3828381
2000,"CA",10965822,5861203,4567429
2004,"CA",12421353,6745485,5509826
2008,"CA",13561900,8274473,5011781
2012,"CA",13038547,7854285,4839958
2016,"CA",14181595,8753788,4483810
