year,state,vote_total,vote_D,vote_R
1976,"MD",1432273,759612,672661
1980,"MD",1540496,726161,680606
1984,"MD",1675873,787935,879918
1988,"MD",1714358,826304,876167
1992,"MD",1984580,988571,707094
1996,"MD",1780870,966207,681530
2000,"MD",2025212,1144008,813827
2004,"MD",2384238,1334493,1024703
2008,"MD",2631596,1629467,959862
2012,"MD",2707327,1677844,971869
2016,"MD",2781446,1677928,943169
