year,state,vote_total,vote_D,vote_R
1976,"HI",291301,147375,140003
1980,"HI",303287,135879,130112
1984,"HI",335846,147154,185050
1988,"HI",354461,192364,158625
1992,"HI",372842,179310,136822
1996,"HI",360120,205012,113943
2000,"HI",367951,205286,137845
2004,"HI",429013,231708,194191
2008,"HI",456064,325871,120566
2012,"HI",437159,306658,121015
2016,"HI",437664,266891,128847
