year,state,vote_total,vote_D,vote_R
1976,"ME",482968,232279,236320
1980,"ME",523011,220974,238522
1984,"ME",553144,214515,336500
1988,"ME",555035,243569,307131
1992,"ME",679499,263420,206504
1996,"ME",605897,312788,186378
2000,"ME",651817,319951,286616
2004,"ME",740752,396842,330201
2008,"ME",731163,421923,295273
2012,"ME",724758,401306,292276
2016,"ME",771892,357735,335593
