year,state,vote_total,vote_D,vote_R
1976,"PA",4620787,2328677,2205604
1980,"PA",4561501,1937540,2261872
1984,"PA",4844903,2228131,2584323
1988,"PA",4536251,2194944,2300087
1992,"PA",4959810,2239164,1791841
1996,"PA",4501307,2215819,1801169
2000,"PA",4912185,2485967,2281127
2004,"PA",5769590,2938095,2793847
2008,"PA",6013272,3276363,2655885
2012,"PA",5742040,2990274,2680434
2016,"PA",6115402,2926441,2970733
